codigo,unidade_sanitaria,tipo,tipo_de_us,nivel,classificacao,maternidade_sn,latitude,longitude,provincia,distrito
1090213,CS Messano,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,32.98478,-25.00909,GAZA,BILENE
1090214,CS Olombe,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.28346,-24.86093,GAZA,BILENE
1090207,CS Praia de Bilene,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.25207,-25.2816,GAZA,BILENE
1090215,CS Tuane,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.25788,-25.08109,GAZA,BILENE
1090202,HD Bilene,HD,Hospital Distrital,Nível Secundário,HD - Hospital Distrital,SIM,,,GAZA,BILENE
1090201,PS Penitenciária Bilene Macia,PS,Posto de Saúde,Nível Primário,PS - Posto de Saúde,,,,GAZA,BILENE
1090307,CS Alto Changane,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.62999,-24.30936,GAZA,CHIBUTO
1090304,CS Celula Mussavene,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo B,SIM,33.53589,-24.67156,GAZA,CHIBUTO
1090312,CS Chaimite,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.34599,-24.66246,GAZA,CHIBUTO
1090317,CS Changanine,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.7798,-24.11286,GAZA,CHIBUTO
1090306,CS Chibuto,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,NÃO,33.54047,-24.6905,GAZA,CHIBUTO
1090313,CS Chimundo,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,GAZA,CHIBUTO
1090308,CS Chipadja,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.75705,-24.57231,GAZA,CHIBUTO
1090305,CS Coca Missava,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo B,SIM,33.65424,-24.79384,GAZA,CHIBUTO
1090319,CS Funguane,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,GAZA,CHIBUTO
1090320,CS Hate-Hate,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,GAZA,CHIBUTO
1090311,CS Maivene,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,33.78727,-24.67998,GAZA,CHIBUTO
